SiteID,Water RowID,Date.Time,Water P psi,Water Temp C,Air BP psi,Sensor Depth ft,Staff gage,Air Temp C,Water logger ID,Air logger ID
B0997,2,12/16/2015 16:30,14.6379,13.269,14.1468,1.02,1.23,16.523,10246125,9983779
B0997,3,12/16/2015 17:00,14.6468,13.173,14.1494,1.03,1.23,14.038,10246125,9983779
B0997,4,12/16/2015 17:30,14.6462,13.076,14.1521,1.03,1.23,12.304,10246125,9983779
B0997,5,12/16/2015 18:00,14.6527,12.98,14.1577,1.03,1.23,11.528,10246125,9983779
B0997,6,12/16/2015 18:30,14.6546,12.883,14.1596,1.03,1.23,11.236,10246125,9983779
B0997,7,12/16/2015 19:00,14.6523,12.883,14.1679,1,1.23,11.236,10246125,9983779
B0997,8,12/16/2015 19:30,14.6565,12.787,14.1676,1.01,1.23,11.139,10246125,9983779
B0997,9,12/16/2015 20:00,14.6565,12.787,14.17,1.01,1.23,11.041,10246125,9983779
B0997,10,12/16/2015 20:30,14.6537,12.69,14.1618,1.02,1.23,11.041,10246125,9983779
B0997,11,12/16/2015 21:00,14.6445,12.69,14.1618,1,1.23,11.041,10246125,9983779
B0997,12,12/16/2015 21:30,14.6468,12.69,14.1593,1.01,1.23,11.139,10246125,9983779
B0997,13,12/16/2015 22:00,14.6421,12.69,14.1589,1,1.23,11.041,10246125,9983779
B0997,14,12/16/2015 22:30,14.6468,12.69,14.1589,1.01,1.23,11.041,10246125,9983779
B0997,15,12/16/2015 23:00,14.6421,12.69,14.1534,1.01,1.23,11.041,10246125,9983779
B0997,16,12/16/2015 23:30,14.6445,12.69,14.1589,1.01,1.23,11.041,10246125,9983779
B0997,17,12/17/2015 0:00,14.6352,12.69,14.151,1,1.23,11.139,10246125,9983779
B0997,18,12/17/2015 0:30,14.6329,12.69,14.1458,1.01,1.23,11.236,10246125,9983779
B0997,19,12/17/2015 1:00,14.6284,12.69,14.1431,1,1.23,11.236,10246125,9983779
B0997,20,12/17/2015 1:30,14.6237,12.69,14.1373,1.01,1.23,11.139,10246125,9983779
B0997,21,12/17/2015 2:00,14.6214,12.69,14.1293,1.02,1.23,11.236,10246125,9983779
B0997,22,12/17/2015 2:30,14.6121,12.69,14.1265,1.01,1.23,11.236,10246125,9983779
B0997,23,12/17/2015 3:00,14.6168,12.69,14.1241,1.02,1.23,11.334,10246125,9983779
B0997,24,12/17/2015 3:30,14.6144,12.69,14.1299,1,1.23,11.431,10246125,9983779
B0997,25,12/17/2015 4:00,14.6144,12.69,14.1244,1.02,1.23,11.431,10246125,9983779
B0997,26,12/17/2015 4:30,14.6075,12.69,14.1133,1.03,1.23,11.431,10246125,9983779
B0997,27,12/17/2015 5:00,14.6098,12.69,14.1103,1.04,1.23,11.334,10246125,9983779
B0997,28,12/17/2015 5:30,14.6052,12.69,14.1071,1.03,1.23,11.236,10246125,9983779
B0997,29,12/17/2015 6:00,14.6098,12.69,14.1016,1.06,1.23,11.236,10246125,9983779
B0997,30,12/17/2015 6:30,14.6144,12.69,14.0988,1.07,1.23,11.236,10246125,9983779
B0997,31,12/17/2015 7:00,14.6144,12.69,14.0958,1.08,1.23,11.139,10246125,9983779
B0997,32,12/17/2015 7:30,14.6186,12.594,14.0985,1.08,1.23,11.139,10246125,9983779
B0997,33,12/17/2015 8:00,14.6301,12.594,14.0961,1.12,1.23,11.236,10246125,9983779
B0997,34,12/17/2015 8:30,14.6371,12.594,14.0968,1.13,1.23,11.431,10246125,9983779
B0997,35,12/17/2015 9:00,14.6394,12.594,14.0943,1.14,1.23,11.528,10246125,9983779
B0997,36,12/17/2015 9:30,14.6468,12.69,14.0946,1.16,1.23,11.625,10246125,9983779
B0997,37,12/17/2015 10:00,14.6421,12.69,14.1001,1.14,1.23,11.625,10246125,9983779
B0997,38,12/17/2015 10:30,14.6421,12.69,14.0924,1.15,1.23,11.819,10246125,9983779
B0997,39,12/17/2015 11:00,14.6514,12.69,14.1004,1.16,1.23,11.722,10246125,9983779
B0997,40,12/17/2015 11:30,14.6265,12.787,14.0748,1.16,1.23,12.304,10246125,9983779
B0997,41,12/17/2015 12:00,14.6242,12.787,14.073,1.16,1.23,12.594,10246125,9983779
B0997,42,12/17/2015 12:30,14.6292,12.883,14.0766,1.16,1.23,12.883,10246125,9983779
B0997,43,12/17/2015 13:00,14.6136,12.98,14.0711,1.14,1.23,12.883,10246125,9983779
B0997,44,12/17/2015 13:30,14.6136,12.98,14.0684,1.14,1.23,12.883,10246125,9983779
B0997,45,12/17/2015 14:00,14.595,12.98,14.0601,1.12,1.23,12.883,10246125,9983779
B0997,46,12/17/2015 14:30,14.5978,13.076,14.0571,1.13,1.23,12.787,10246125,9983779
B0997,47,12/17/2015 15:00,14.5886,13.076,14.0521,1.12,1.23,12.98,10246125,9983779
B0997,48,12/17/2015 15:30,14.5863,13.076,14.0531,1.12,1.23,13.269,10246125,9983779
B0997,49,12/17/2015 16:00,14.5891,13.173,14.0565,1.11,1.23,13.461,10246125,9983779
B0997,50,12/17/2015 16:30,14.5867,13.173,14.0592,1.1,1.23,13.461,10246125,9983779
B0997,51,12/17/2015 17:00,14.5936,13.173,14.0642,1.11,1.23,13.269,10246125,9983779
B0997,52,12/17/2015 17:30,14.6028,13.173,14.0666,1.12,1.23,13.173,10246125,9983779
B0997,53,12/17/2015 18:00,14.6024,13.076,14.069,1.12,1.23,13.076,10246125,9983779
B0997,54,12/17/2015 18:30,14.5978,13.076,14.0714,1.1,1.23,12.98,10246125,9983779
B0997,55,12/17/2015 19:00,14.5931,13.076,14.0705,1.09,1.23,12.69,10246125,9983779
B0997,56,12/17/2015 19:30,14.5931,13.076,14.0687,1.1,1.23,12.11,10246125,9983779
B0997,57,12/17/2015 20:00,14.5973,12.98,14.072,1.1,1.23,11.431,10246125,9983779
B0997,58,12/17/2015 20:30,14.5946,12.883,14.0732,1.09,1.23,10.944,10246125,9983779
B0997,59,12/17/2015 21:00,14.5965,12.787,14.0697,1.1,1.23,10.748,10246125,9983779
B0997,60,12/17/2015 21:30,14.6011,12.787,14.0777,1.09,1.23,10.651,10246125,9983779
B0997,61,12/17/2015 22:00,14.6007,12.69,14.0777,1.09,1.23,10.651,10246125,9983779
B0997,62,12/17/2015 22:30,14.596,12.69,14.0771,1.08,1.23,10.455,10246125,9983779
B0997,63,12/17/2015 23:00,14.5914,12.69,14.0737,1.08,1.23,10.259,10246125,9983779
B0997,64,12/17/2015 23:30,14.5863,12.594,14.0697,1.08,1.23,9.866,10246125,9983779
B0997,65,12/18/2015 0:00,14.5909,12.594,14.0721,1.08,1.23,9.768,10246125,9983779
B0997,66,12/18/2015 0:30,14.5882,12.497,14.0684,1.08,1.23,9.472,10246125,9983779
B0997,67,12/18/2015 1:00,14.5835,12.497,14.0613,1.09,1.23,8.978,10246125,9983779
B0997,68,12/18/2015 1:30,14.5831,12.401,14.0594,1.09,1.23,8.382,10246125,9983779
B0997,69,12/18/2015 2:00,14.585,12.304,14.063,1.09,1.23,7.782,10246125,9983779
B0997,70,12/18/2015 2:30,14.5891,12.207,14.0674,1.09,1.23,7.381,10246125,9983779
B0997,71,12/18/2015 3:00,14.5886,12.11,14.0716,1.08,1.23,6.978,10246125,9983779
B0997,72,12/18/2015 3:30,14.5835,12.013,14.0704,1.07,1.23,7.481,10246125,9983779
B0997,73,12/18/2015 4:00,14.5835,12.013,14.0618,1.09,1.23,7.381,10246125,9983779
B0997,74,12/18/2015 4:30,14.5854,11.916,14.0668,1.08,1.23,7.179,10246125,9983779
B0997,75,12/18/2015 5:00,14.585,11.819,14.0674,1.08,1.23,7.381,10246125,9983779
B0997,76,12/18/2015 5:30,14.5864,11.625,14.0707,1.07,1.23,7.582,10246125,9983779
B0997,77,12/18/2015 6:00,14.5907,11.528,14.0762,1.07,1.23,7.582,10246125,9983779
B0997,78,12/18/2015 6:30,14.5994,11.431,14.0808,1.08,1.23,7.28,10246125,9983779
