SiteID,Water RowID,Date Time,Water BP psi,Water Temp C,Air BP psi,Water Level ft,Air Temp C,Discrete Water Temp C,Discrete Air Temp C,Discrete Water Level ft,Water Logger ID,,
ECO66G12,1,7/25/2013 10:30,14.4211,20.138,14.1727,0.595,21.76,20.15,21.78,0.591,10229557,,
ECO66G12,2,7/25/2013 11:00,14.4207,20.043,14.1708,0.599,22.238,,,,10229557,,
ECO66G12,3,7/25/2013 11:30,14.4265,20.329,14.1764,0.599,22.429,,,,10229557,,
ECO66G12,4,7/25/2013 12:00,14.4256,20.71,14.1751,0.6,23.004,,,,10229557,,
ECO66G12,5,7/25/2013 12:30,14.4295,21.091,14.1789,0.601,23.677,,,,10229557,,
ECO66G12,6,7/25/2013 13:00,14.4302,21.282,14.1827,0.593,24.351,,,,10229557,,
ECO66G12,7,7/25/2013 13:30,14.4286,21.473,14.178,0.601,24.738,,,,10229557,,
ECO66G12,8,7/25/2013 14:00,14.4321,21.76,14.1808,0.602,25.222,,,,10229557,,
ECO66G12,9,7/25/2013 14:30,14.4284,21.951,14.1779,0.6,25.513,,,,10229557,,
ECO66G12,10,7/25/2013 15:00,14.4295,22.238,14.1796,0.599,25.805,,,,10229557,,
ECO66G12,11,7/25/2013 15:30,14.4344,22.333,14.1847,0.599,25.902,,,,10229557,,
ECO66G12,12,7/25/2013 16:00,14.4349,22.429,14.1876,0.593,25.61,,,,10229557,,
ECO66G12,13,7/25/2013 16:30,14.4353,22.525,14.1893,0.59,25.513,,,,10229557,,
ECO66G12,14,7/25/2013 17:00,14.4376,22.525,14.1882,0.598,25.319,,,,10229557,,
ECO66G12,15,7/25/2013 17:30,14.433,22.525,14.1859,0.593,25.319,,,,10229557,,
ECO66G12,16,7/25/2013 18:00,14.433,22.525,14.1831,0.599,25.222,,,,10229557,,
ECO66G12,17,7/25/2013 18:30,14.4302,22.429,14.1827,0.594,24.738,,,,10229557,,
ECO66G12,18,7/25/2013 19:00,14.4344,22.333,14.1861,0.595,24.158,,,,10229557,,
ECO66G12,19,7/25/2013 19:30,14.4342,22.238,14.1869,0.593,23.484,,,,10229557,,
ECO66G12,20,7/25/2013 20:00,14.4384,22.142,14.1922,0.59,22.812,,,,10229557,,
ECO66G12,21,7/25/2013 20:30,14.4402,22.046,14.1953,0.588,22.142,,,,10229557,,
ECO66G12,22,7/25/2013 21:00,14.4421,21.951,14.1948,0.593,21.664,,,,10229557,,
ECO66G12,23,7/25/2013 21:30,14.4463,21.855,14.1967,0.598,21.187,,,,10229557,,
ECO66G12,24,7/25/2013 22:00,14.4482,21.76,14.2014,0.592,20.805,,,,10229557,,
ECO66G12,25,7/25/2013 22:30,14.4524,21.664,14.2078,0.587,20.329,,,,10229557,,
ECO66G12,26,7/25/2013 23:00,14.4517,21.473,14.2079,0.585,19.948,,,,10229557,,
ECO66G12,27,7/25/2013 23:30,14.4558,21.378,14.2104,0.588,19.567,,,,10229557,,
ECO66G12,28,7/26/2013 0:00,14.4532,21.282,14.2088,0.586,19.282,,,,10229557,,
ECO66G12,29,7/26/2013 0:30,14.4501,21.091,14.2091,0.578,18.901,,,,10229557,,
ECO66G12,30,7/26/2013 1:00,14.4497,20.996,14.2051,0.586,18.616,,,,10229557,,
ECO66G12,31,7/26/2013 1:30,14.4424,20.901,14.2035,0.573,18.331,,,,10229557,,
ECO66G12,32,7/26/2013 2:00,14.4417,20.71,14.202,0.575,18.045,,,,10229557,,
ECO66G12,33,7/26/2013 2:30,14.4413,20.615,14.2027,0.573,17.76,,,,10229557,,
ECO66G12,34,7/26/2013 3:00,14.4405,20.424,14.1995,0.578,17.57,,,,10229557,,
ECO66G12,35,7/26/2013 3:30,14.4424,20.329,14.2006,0.58,17.379,,,,10229557,,
ECO66G12,36,7/26/2013 4:00,14.4445,20.234,14.2018,0.582,17.189,,,,10229557,,
