Water RowID,SiteID,Date.Time,Water BP psi,Water Temp C,Air BP psi,Water Level ft,Air Temp C,Discrete Water Temp C,Discrete Air Temp C,Discrete Water Level ft,Water Logger ID
1,ECO66G12,4/26/2013 10:30,14.8024,10.063,14.3638,0.985,15.282,10.055,15.24,0.98,10229557
2,ECO66G12,4/26/2013 11:00,14.7461,10.357,14.3644,0.854,14.134,,,,10229557
3,ECO66G12,4/26/2013 11:30,14.7428,10.748,14.3603,0.855,14.23,,,,10229557
4,ECO66G12,4/26/2013 12:00,14.7441,11.139,14.3627,0.853,15.473,,,,10229557
5,ECO66G12,4/26/2013 12:30,14.7431,11.528,14.3612,0.854,17.284,,,,10229557
6,ECO66G12,4/26/2013 13:00,14.7421,11.916,14.3628,0.848,18.806,,,,10229557
7,ECO66G12,4/26/2013 13:30,14.7453,12.207,14.3629,0.855,19.662,,,,10229557
8,ECO66G12,4/26/2013 14:00,14.7351,12.594,14.3537,0.853,20.424,,,,10229557
9,ECO66G12,4/26/2013 14:30,14.7315,12.883,14.3484,0.857,20.71,,,,10229557
10,ECO66G12,4/26/2013 15:00,14.7234,13.173,14.3426,0.852,20.901,,,,10229557
11,ECO66G12,4/26/2013 15:30,14.7171,13.365,14.3331,0.859,20.805,,,,10229557
12,ECO66G12,4/26/2013 16:00,14.7109,13.558,14.3302,0.852,21.091,,,,10229557
13,ECO66G12,4/26/2013 16:30,14.702,13.654,14.3215,0.851,21.569,,,,10229557
14,ECO66G12,4/26/2013 17:00,14.6978,13.75,14.3152,0.856,21.282,,,,10229557
15,ECO66G12,4/26/2013 17:30,14.6913,13.846,14.3164,0.838,21.473,,,,10229557
16,ECO66G12,4/26/2013 18:00,14.7051,13.846,14.3239,0.853,20.805,,,,10229557
17,ECO66G12,4/26/2013 18:30,14.7119,13.846,14.3294,0.856,19.758,,,,10229557
18,ECO66G12,4/26/2013 19:00,14.7368,13.75,14.3538,0.857,18.426,,,,10229557
19,ECO66G12,4/26/2013 19:30,14.7413,13.75,14.3564,0.861,17.665,,,,10229557
20,ECO66G12,4/26/2013 20:00,14.7392,13.75,14.3551,0.859,16.999,,,,10229557
21,ECO66G12,4/26/2013 20:30,14.7113,13.654,14.3289,0.856,15.951,,,,10229557
22,ECO66G12,4/26/2013 21:00,14.6812,13.558,14.2999,0.853,15.187,,,,10229557
23,ECO66G12,4/26/2013 21:30,14.6994,13.558,14.3178,0.854,14.325,,,,10229557
24,ECO66G12,4/26/2013 22:00,14.7174,13.461,14.3351,0.855,13.75,,,,10229557
25,ECO66G12,4/26/2013 22:30,14.7241,13.365,14.341,0.857,13.173,,,,10229557
26,ECO66G12,4/26/2013 23:00,14.7421,13.269,14.3606,0.853,12.594,,,,10229557
27,ECO66G12,4/26/2013 23:30,14.7416,13.173,14.3558,0.863,12.11,,,,10229557
28,ECO66G12,4/27/2013 0:00,14.7325,13.173,14.3452,0.867,11.819,,,,10229557
29,ECO66G12,4/27/2013 0:30,14.739,13.076,14.3515,0.867,11.722,,,,10229557
30,ECO66G12,4/27/2013 1:00,14.7457,12.98,14.3587,0.866,11.819,,,,10229557
31,ECO66G12,4/27/2013 1:30,14.7572,12.98,14.3656,0.877,11.819,,,,10229557
32,ECO66G12,4/27/2013 2:00,14.7637,12.883,14.37,0.881,11.819,,,,10229557
33,ECO66G12,4/27/2013 2:30,14.7541,12.787,14.3519,0.901,11.819,,,,10229557
34,ECO66G12,4/27/2013 3:00,14.7588,12.787,14.3447,0.928,11.722,,,,10229557
35,ECO66G12,4/27/2013 3:30,14.7447,12.69,14.3271,0.936,11.819,,,,10229557
36,ECO66G12,4/27/2013 4:00,14.7377,12.69,14.3175,0.943,11.722,,,,10229557
37,ECO66G12,4/27/2013 4:30,14.7718,12.594,14.3374,0.975,11.625,,,,10229557
38,ECO66G12,4/27/2013 5:00,14.7856,12.594,14.3351,1.012,11.625,,,,10229557
39,ECO66G12,4/27/2013 5:30,14.7991,12.497,14.3392,1.034,11.528,,,,10229557
40,ECO66G12,4/27/2013 6:00,14.7876,12.497,14.3204,1.051,11.431,,,,10229557
41,ECO66G12,4/27/2013 6:30,14.7965,12.401,14.3194,1.074,11.236,,,,10229557
42,ECO66G12,4/27/2013 7:00,14.7965,12.401,14.3154,1.083,11.334,,,,10229557
43,ECO66G12,4/27/2013 7:30,14.8056,12.401,14.3228,1.087,11.431,,,,10229557
44,ECO66G12,4/27/2013 8:00,14.8075,12.304,14.321,1.095,11.528,,,,10229557
45,ECO66G12,4/27/2013 8:30,14.803,12.304,14.3146,1.1,11.625,,,,10229557
46,ECO66G12,4/27/2013 9:00,14.7983,12.304,14.3107,1.098,11.722,,,,10229557
47,ECO66G12,4/27/2013 9:30,14.7892,12.304,14.309,1.081,11.819,,,,10229557
48,ECO66G12,4/27/2013 10:00,14.7915,12.304,14.3129,1.077,11.722,,,,10229557
49,ECO66G12,4/27/2013 10:30,14.796,12.304,14.3187,1.074,11.528,,,,10229557
50,ECO66G12,4/27/2013 11:00,14.7915,12.304,14.32,1.061,11.334,,,,10229557
51,ECO66G12,4/27/2013 11:30,14.8007,12.304,14.33,1.059,11.528,,,,10229557
52,ECO66G12,4/27/2013 12:00,14.8053,12.304,14.3368,1.054,11.528,,,,10229557
53,ECO66G12,4/27/2013 12:30,14.8026,12.207,14.3328,1.057,11.625,,,,10229557
54,ECO66G12,4/27/2013 13:00,14.7892,12.304,14.3197,1.056,11.722,,,,10229557
55,ECO66G12,4/27/2013 13:30,14.7778,12.304,14.3112,1.05,11.819,,,,10229557
56,ECO66G12,4/27/2013 14:00,14.7915,12.304,14.3271,1.045,11.819,,,,10229557
57,ECO66G12,4/27/2013 14:30,14.7801,12.304,14.3175,1.04,11.722,,,,10229557
58,ECO66G12,4/27/2013 15:00,14.7686,12.304,14.3004,1.053,11.916,,,,10229557
59,ECO66G12,4/27/2013 15:30,14.7619,12.401,14.2956,1.049,12.304,,,,10229557
60,ECO66G12,4/27/2013 16:00,14.7509,12.497,14.2887,1.04,12.69,,,,10229557
61,ECO66G12,4/27/2013 16:30,14.744,12.497,14.2836,1.035,12.594,,,,10229557
62,ECO66G12,4/27/2013 17:00,14.7395,12.497,14.2785,1.037,12.497,,,,10229557
63,ECO66G12,4/27/2013 17:30,14.7395,12.497,14.2768,1.041,12.594,,,,10229557
64,ECO66G12,4/27/2013 18:00,14.7237,12.594,14.2665,1.028,12.787,,,,10229557
65,ECO66G12,4/27/2013 18:30,14.7145,12.594,14.2582,1.026,13.365,,,,10229557
66,ECO66G12,4/27/2013 19:00,14.7192,12.594,14.2572,1.039,13.173,,,,10229557
67,ECO66G12,4/27/2013 19:30,14.7099,12.594,14.254,1.025,12.98,,,,10229557
68,ECO66G12,4/27/2013 20:00,14.7099,12.594,14.2517,1.03,12.98,,,,10229557
69,ECO66G12,4/27/2013 20:30,14.7077,12.594,14.2489,1.032,12.883,,,,10229557
70,ECO66G12,4/27/2013 21:00,14.6984,12.594,14.2411,1.028,12.69,,,,10229557
71,ECO66G12,4/27/2013 21:30,14.6939,12.594,14.236,1.03,12.594,,,,10229557
72,ECO66G12,4/27/2013 22:00,14.6825,12.594,14.2292,1.019,12.594,,,,10229557
73,ECO66G12,4/27/2013 22:30,14.7007,12.594,14.245,1.025,12.594,,,,10229557
