SiteID,Date,Time,Date.Time,Water.Temp.C,Air.Temp.C,Water.BP.psi,Air.BP.psi,Water.Level.ft,Discrete.Water.Temp.C,Discrete.Air.Temp.C,Discrete.Water.Level.ft,Flag.Date.Time,Flag.Water.Temp.C,Flag.Air.Temp.C,Flag.Water.BP.psi,Flag.Air.BP.psi,Flag.Water.Level.ft,Flag.Discrete.Water.Temp.C,Flag.Discrete.Air.Temp.C,Flag.Discrete.Water.Level.ft,Month,Day,Year,Flag.Gross.Water.Temp.C,Flag.Spike.Water.Temp.C,Flag.RoC.Water.Temp.C,Flag.Flat.Water.Temp.C,Flag.Gross.Air.Temp.C,Flag.Spike.Air.Temp.C,Flag.RoC.Air.Temp.C,Flag.Flat.Air.Temp.C,Flag.Gross.Water.BP.psi,Flag.Spike.Water.BP.psi,Flag.RoC.Water.BP.psi,Flag.Flat.Water.BP.psi,Flag.Gross.Air.BP.psi,Flag.Spike.Air.BP.psi,Flag.RoC.Air.BP.psi,Flag.Flat.Air.BP.psi,Flag.Gross.Water.Level.ft,Flag.Spike.Water.Level.ft,Flag.RoC.Water.Level.ft,Flag.Flat.Water.Level.ft,Comment.MOD.Date.Time,RAW.Date.Time,Comment.MOD.Water.Temp.C,RAW.Water.Temp.C,Comment.MOD.Air.Temp.C,RAW.Air.Temp.C,Comment.MOD.Water.BP.psi,RAW.Water.BP.psi,Comment.MOD.Air.BP.psi,RAW.Air.BP.psi,Comment.MOD.Water.Level.ft,RAW.Water.Level.ft,Comment.MOD.Discrete.Water.Temp.C,RAW.Discrete.Water.Temp.C,Comment.MOD.Discrete.Air.Temp.C,RAW.Discrete.Air.Temp.C,Comment.MOD.Discrete.Water.Level.ft,RAW.Discrete.Water.Level.ft
ECO66G12,2013-04-26,10:30:00,2013-04-26 10:30:00,10.063,15.282,14.8024,14.3638,0.985,10.055,15.24,0.98,,P,P,P,P,P,,,,4,26,2013,P,X,X,P,P,X,X,P,P,X,X,P,P,X,X,P,P,X,X,P,,2013-04-26 10:30:00,,10.063,,15.282,,14.8024,,14.3638,,0.985,,10.055,,15.24,,0.98
ECO66G12,2013-04-26,11:00:00,2013-04-26 11:00:00,10.357,14.134,14.7461,14.3644,0.854,NA,NA,NA,,P,P,P,P,P,,,,4,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-04-26 11:00:00,,10.357,,14.134,,14.7461,,14.3644,,0.854,,NA,,NA,,NA
ECO66G12,2013-04-26,11:30:00,2013-04-26 11:30:00,10.748,14.23,14.7428,14.3603,0.855,NA,NA,NA,,P,P,P,P,P,,,,4,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-04-26 11:30:00,,10.748,,14.23,,14.7428,,14.3603,,0.855,,NA,,NA,,NA
ECO66G12,2013-04-26,12:00:00,2013-04-26 12:00:00,11.139,15.473,14.7441,14.3627,0.853,NA,NA,NA,,P,P,P,P,P,,,,4,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-04-26 12:00:00,,11.139,,15.473,,14.7441,,14.3627,,0.853,,NA,,NA,,NA
ECO66G12,2013-04-26,12:30:00,2013-04-26 12:30:00,11.528,17.284,14.7431,14.3612,0.854,NA,NA,NA,,P,P,P,P,P,,,,4,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-04-26 12:30:00,,11.528,,17.284,,14.7431,,14.3612,,0.854,,NA,,NA,,NA
ECO66G12,2013-04-26,13:00:00,2013-04-26 13:00:00,11.916,18.806,14.7421,14.3628,0.848,NA,NA,NA,,P,P,P,P,P,,,,4,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-04-26 13:00:00,,11.916,,18.806,,14.7421,,14.3628,,0.848,,NA,,NA,,NA
ECO66G12,2013-04-26,13:30:00,2013-04-26 13:30:00,12.207,19.662,14.7453,14.3629,0.855,NA,NA,NA,,P,P,P,P,P,,,,4,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-04-26 13:30:00,,12.207,,19.662,,14.7453,,14.3629,,0.855,,NA,,NA,,NA
ECO66G12,2013-04-26,14:00:00,2013-04-26 14:00:00,12.594,20.424,14.7351,14.3537,0.853,NA,NA,NA,,P,P,P,P,P,,,,4,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-04-26 14:00:00,,12.594,,20.424,,14.7351,,14.3537,,0.853,,NA,,NA,,NA
ECO66G12,2013-04-26,14:30:00,2013-04-26 14:30:00,12.883,20.71,14.7315,14.3484,0.857,NA,NA,NA,,P,P,P,P,P,,,,4,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-04-26 14:30:00,,12.883,,20.71,,14.7315,,14.3484,,0.857,,NA,,NA,,NA
ECO66G12,2013-04-26,15:00:00,2013-04-26 15:00:00,13.173,20.901,14.7234,14.3426,0.852,NA,NA,NA,,P,P,P,P,P,,,,4,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-04-26 15:00:00,,13.173,,20.901,,14.7234,,14.3426,,0.852,,NA,,NA,,NA
