SiteID,Date,Time,Date.Time,Water.Temp.C,Air.Temp.C,Water.BP.psi,Air.BP.psi,Water.Level.ft,Water.RowID,Discrete.Water.Temp.C,Discrete.Air.Temp.C,Discrete.Water.Level.ft,Flag.Date.Time,Flag.Water.Temp.C,Flag.Air.Temp.C,Flag.Water.BP.psi,Flag.Air.BP.psi,Flag.Water.Level.ft,Flag.Discrete.Water.Temp.C,Flag.Discrete.Air.Temp.C,Flag.Discrete.Water.Level.ft,Month,Day,Year,Flag.Gross.Water.Temp.C,Flag.Spike.Water.Temp.C,Flag.RoC.Water.Temp.C,Flag.Flat.Water.Temp.C,Flag.Gross.Air.Temp.C,Flag.Spike.Air.Temp.C,Flag.RoC.Air.Temp.C,Flag.Flat.Air.Temp.C,Flag.Gross.Water.BP.psi,Flag.Spike.Water.BP.psi,Flag.RoC.Water.BP.psi,Flag.Flat.Water.BP.psi,Flag.Gross.Air.BP.psi,Flag.Spike.Air.BP.psi,Flag.RoC.Air.BP.psi,Flag.Flat.Air.BP.psi,Flag.Gross.Water.Level.ft,Flag.Spike.Water.Level.ft,Flag.RoC.Water.Level.ft,Flag.Flat.Water.Level.ft,Comment.MOD.Date.Time,RAW.Date.Time,Comment.MOD.Water.Temp.C,RAW.Water.Temp.C,Comment.MOD.Air.Temp.C,RAW.Air.Temp.C,Comment.MOD.Water.BP.psi,RAW.Water.BP.psi,Comment.MOD.Air.BP.psi,RAW.Air.BP.psi,Comment.MOD.Water.Level.ft,RAW.Water.Level.ft,Comment.MOD.Discrete.Water.Temp.C,RAW.Discrete.Water.Temp.C,Comment.MOD.Discrete.Air.Temp.C,RAW.Discrete.Air.Temp.C,Comment.MOD.Discrete.Water.Level.ft,RAW.Discrete.Water.Level.ft
ECO66G12,2013-07-25,10:30:00,2013-07-25 10:30:00,20.138,21.76,14.4211,14.1727,0.595,1,20.15,21.78,0.591,,P,P,P,P,P,,,,7,25,2013,P,X,X,P,P,X,X,P,P,X,X,P,P,X,X,P,P,X,X,P,,2013-07-25 10:30:00,,20.138,,21.76,,14.4211,,14.1727,,0.595,,20.15,,21.78,,0.591
ECO66G12,2013-07-25,11:00:00,2013-07-25 11:00:00,20.043,22.238,14.4207,14.1708,0.599,2,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 11:00:00,,20.043,,22.238,,14.4207,,14.1708,,0.599,,NA,,NA,,NA
ECO66G12,2013-07-25,11:30:00,2013-07-25 11:30:00,20.329,22.429,14.4265,14.1764,0.599,3,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 11:30:00,,20.329,,22.429,,14.4265,,14.1764,,0.599,,NA,,NA,,NA
ECO66G12,2013-07-25,12:00:00,2013-07-25 12:00:00,20.71,23.004,14.4256,14.1751,0.6,4,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 12:00:00,,20.71,,23.004,,14.4256,,14.1751,,0.6,,NA,,NA,,NA
ECO66G12,2013-07-25,12:30:00,2013-07-25 12:30:00,21.091,23.677,14.4295,14.1789,0.601,5,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 12:30:00,,21.091,,23.677,,14.4295,,14.1789,,0.601,,NA,,NA,,NA
ECO66G12,2013-07-25,13:00:00,2013-07-25 13:00:00,21.282,24.351,14.4302,14.1827,0.593,6,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 13:00:00,,21.282,,24.351,,14.4302,,14.1827,,0.593,,NA,,NA,,NA
ECO66G12,2013-07-25,13:30:00,2013-07-25 13:30:00,21.473,24.738,14.4286,14.178,0.601,7,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 13:30:00,,21.473,,24.738,,14.4286,,14.178,,0.601,,NA,,NA,,NA
ECO66G12,2013-07-25,14:00:00,2013-07-25 14:00:00,21.76,25.222,14.4321,14.1808,0.602,8,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 14:00:00,,21.76,,25.222,,14.4321,,14.1808,,0.602,,NA,,NA,,NA
ECO66G12,2013-07-25,14:30:00,2013-07-25 14:30:00,21.951,25.513,14.4284,14.1779,0.6,9,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 14:30:00,,21.951,,25.513,,14.4284,,14.1779,,0.6,,NA,,NA,,NA
ECO66G12,2013-07-25,15:00:00,2013-07-25 15:00:00,22.238,25.805,14.4295,14.1796,0.599,10,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 15:00:00,,22.238,,25.805,,14.4295,,14.1796,,0.599,,NA,,NA,,NA
ECO66G12,2013-07-25,15:30:00,2013-07-25 15:30:00,22.333,25.902,14.4344,14.1847,0.599,11,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 15:30:00,,22.333,,25.902,,14.4344,,14.1847,,0.599,,NA,,NA,,NA
ECO66G12,2013-07-25,16:00:00,2013-07-25 16:00:00,22.429,25.61,14.4349,14.1876,0.593,12,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 16:00:00,,22.429,,25.61,,14.4349,,14.1876,,0.593,,NA,,NA,,NA
ECO66G12,2013-07-25,16:30:00,2013-07-25 16:30:00,22.525,25.513,14.4353,14.1893,0.59,13,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 16:30:00,,22.525,,25.513,,14.4353,,14.1893,,0.59,,NA,,NA,,NA
ECO66G12,2013-07-25,17:00:00,2013-07-25 17:00:00,22.525,25.319,14.4376,14.1882,0.598,14,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 17:00:00,,22.525,,25.319,,14.4376,,14.1882,,0.598,,NA,,NA,,NA
ECO66G12,2013-07-25,17:30:00,2013-07-25 17:30:00,22.525,25.319,14.433,14.1859,0.593,15,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 17:30:00,,22.525,,25.319,,14.433,,14.1859,,0.593,,NA,,NA,,NA
ECO66G12,2013-07-25,18:00:00,2013-07-25 18:00:00,22.525,25.222,14.433,14.1831,0.599,16,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 18:00:00,,22.525,,25.222,,14.433,,14.1831,,0.599,,NA,,NA,,NA
ECO66G12,2013-07-25,18:30:00,2013-07-25 18:30:00,22.429,24.738,14.4302,14.1827,0.594,17,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 18:30:00,,22.429,,24.738,,14.4302,,14.1827,,0.594,,NA,,NA,,NA
ECO66G12,2013-07-25,19:00:00,2013-07-25 19:00:00,22.333,24.158,14.4344,14.1861,0.595,18,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 19:00:00,,22.333,,24.158,,14.4344,,14.1861,,0.595,,NA,,NA,,NA
ECO66G12,2013-07-25,19:30:00,2013-07-25 19:30:00,22.238,23.484,14.4342,14.1869,0.593,19,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 19:30:00,,22.238,,23.484,,14.4342,,14.1869,,0.593,,NA,,NA,,NA
ECO66G12,2013-07-25,20:00:00,2013-07-25 20:00:00,22.142,22.812,14.4384,14.1922,0.59,20,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 20:00:00,,22.142,,22.812,,14.4384,,14.1922,,0.59,,NA,,NA,,NA
ECO66G12,2013-07-25,20:30:00,2013-07-25 20:30:00,22.046,22.142,14.4402,14.1953,0.588,21,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 20:30:00,,22.046,,22.142,,14.4402,,14.1953,,0.588,,NA,,NA,,NA
ECO66G12,2013-07-25,21:00:00,2013-07-25 21:00:00,21.951,21.664,14.4421,14.1948,0.593,22,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 21:00:00,,21.951,,21.664,,14.4421,,14.1948,,0.593,,NA,,NA,,NA
ECO66G12,2013-07-25,21:30:00,2013-07-25 21:30:00,21.855,21.187,14.4463,14.1967,0.598,23,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 21:30:00,,21.855,,21.187,,14.4463,,14.1967,,0.598,,NA,,NA,,NA
ECO66G12,2013-07-25,22:00:00,2013-07-25 22:00:00,21.76,20.805,14.4482,14.2014,0.592,24,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 22:00:00,,21.76,,20.805,,14.4482,,14.2014,,0.592,,NA,,NA,,NA
ECO66G12,2013-07-25,22:30:00,2013-07-25 22:30:00,21.664,20.329,14.4524,14.2078,0.587,25,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 22:30:00,,21.664,,20.329,,14.4524,,14.2078,,0.587,,NA,,NA,,NA
ECO66G12,2013-07-25,23:00:00,2013-07-25 23:00:00,21.473,19.948,14.4517,14.2079,0.585,26,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 23:00:00,,21.473,,19.948,,14.4517,,14.2079,,0.585,,NA,,NA,,NA
ECO66G12,2013-07-25,23:30:00,2013-07-25 23:30:00,21.378,19.567,14.4558,14.2104,0.588,27,NA,NA,NA,,P,P,P,P,P,,,,7,25,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-25 23:30:00,,21.378,,19.567,,14.4558,,14.2104,,0.588,,NA,,NA,,NA
ECO66G12,2013-07-26,00:00:00,2013-07-26 00:00:00,21.282,19.282,14.4532,14.2088,0.586,28,NA,NA,NA,,P,P,P,P,P,,,,7,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-26 00:00:00,,21.282,,19.282,,14.4532,,14.2088,,0.586,,NA,,NA,,NA
ECO66G12,2013-07-26,00:30:00,2013-07-26 00:30:00,21.091,18.901,14.4501,14.2091,0.578,29,NA,NA,NA,,P,P,P,P,P,,,,7,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-26 00:30:00,,21.091,,18.901,,14.4501,,14.2091,,0.578,,NA,,NA,,NA
ECO66G12,2013-07-26,01:00:00,2013-07-26 01:00:00,20.996,18.616,14.4497,14.2051,0.586,30,NA,NA,NA,,P,P,P,P,P,,,,7,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-26 01:00:00,,20.996,,18.616,,14.4497,,14.2051,,0.586,,NA,,NA,,NA
ECO66G12,2013-07-26,01:30:00,2013-07-26 01:30:00,20.901,18.331,14.4424,14.2035,0.573,31,NA,NA,NA,,P,P,P,P,P,,,,7,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-26 01:30:00,,20.901,,18.331,,14.4424,,14.2035,,0.573,,NA,,NA,,NA
ECO66G12,2013-07-26,02:00:00,2013-07-26 02:00:00,20.71,18.045,14.4417,14.202,0.575,32,NA,NA,NA,,P,P,P,P,P,,,,7,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-26 02:00:00,,20.71,,18.045,,14.4417,,14.202,,0.575,,NA,,NA,,NA
ECO66G12,2013-07-26,02:30:00,2013-07-26 02:30:00,20.615,17.76,14.4413,14.2027,0.573,33,NA,NA,NA,,P,P,P,P,P,,,,7,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-26 02:30:00,,20.615,,17.76,,14.4413,,14.2027,,0.573,,NA,,NA,,NA
ECO66G12,2013-07-26,03:00:00,2013-07-26 03:00:00,20.424,17.57,14.4405,14.1995,0.578,34,NA,NA,NA,,P,P,P,P,P,,,,7,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-26 03:00:00,,20.424,,17.57,,14.4405,,14.1995,,0.578,,NA,,NA,,NA
ECO66G12,2013-07-26,03:30:00,2013-07-26 03:30:00,20.329,17.379,14.4424,14.2006,0.58,35,NA,NA,NA,,P,P,P,P,P,,,,7,26,2013,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,,2013-07-26 03:30:00,,20.329,,17.379,,14.4424,,14.2006,,0.58,,NA,,NA,,NA
