SiteID,Date Time,Water P psi ,Water Temp C,Air BP psi,Sensor Depth ft,Air Temp C
SV684,12/17/2015 14:30,14.6638,13.173,13.9914,1.54,15.569
SV684,12/17/2015 15:00,14.6642,13.269,13.9883,1.55,14.613
SV684,12/17/2015 15:30,14.6617,13.269,13.9883,1.54,14.613
SV684,12/17/2015 16:00,14.6671,13.365,13.9911,1.55,14.709
SV684,12/17/2015 16:30,14.6671,13.365,13.9934,1.54,14.709
SV684,12/17/2015 17:00,14.6743,13.365,14.0027,1.54,14.709
SV684,12/17/2015 17:30,14.682,13.461,14.0067,1.54,14.517
SV684,12/17/2015 18:00,14.682,13.461,14.0147,1.53,14.134
SV684,12/17/2015 18:30,14.6843,13.461,14.0089,1.54,13.75
SV684,12/17/2015 19:00,14.6791,13.365,14.0106,1.53,13.558
SV684,12/17/2015 19:30,14.6814,13.365,14.0095,1.54,13.173
SV684,12/17/2015 20:00,14.681,13.269,14.0122,1.53,12.594
SV684,12/17/2015 20:30,14.6777,13.076,14.0111,1.52,12.207
SV684,12/17/2015 21:00,14.6845,12.98,14.0169,1.53,11.819
SV684,12/17/2015 21:30,14.6816,12.883,14.0133,1.53,11.431
SV684,12/17/2015 22:00,14.6909,12.787,14.0199,1.53,11.334
SV684,12/17/2015 22:30,14.6832,12.69,14.0167,1.52,11.041
SV684,12/17/2015 23:00,14.6803,12.594,14.013,1.53,10.553
SV684,12/17/2015 23:30,14.6798,12.497,14.0138,1.52,10.063
SV684,12/18/2015 0:00,14.6842,12.401,14.0115,1.54,10.063
SV684,12/18/2015 0:30,14.6809,12.207,14.0135,1.53,9.965
SV684,12/18/2015 1:00,14.678,12.11,14.0096,1.53,9.472
SV684,12/18/2015 1:30,14.6746,11.916,14.0088,1.52,8.382
SV684,12/18/2015 2:00,14.6756,11.625,14.0115,1.52,7.782
SV684,12/18/2015 2:30,14.6796,11.431,14.0164,1.52,7.079
SV684,12/18/2015 3:00,14.681,11.236,14.0147,1.52,6.471
SV684,12/18/2015 3:30,14.6772,10.944,14.0131,1.52,5.962
SV684,12/18/2015 4:00,14.6812,10.748,14.0163,1.52,5.45
SV684,12/18/2015 4:30,14.6807,10.651,14.0166,1.52,5.552
